date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:14	901730/901730	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jun%202024%2002:42:40%20GMT	https://itindeedtheme.com//templates/cityboard/homepage1.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/homepage1.html	(from )
15:42:15	114/114	---M-Z	200	added ('OK')	text/plain	date:Thu,%2017%20Apr%202025%2010:12:15%20GMT	https://itindeedtheme.com/robots.txt		(from )
15:42:15	232947/232947	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20May%202024%2004:57:52%20GMT	https://itindeedtheme.com//templates/cityboard/assets/css/bootstrap.min.css	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/assets/css/bootstrap.min.css	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:15	103009/103009	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Apr%202024%2008:32:48%20GMT	https://itindeedtheme.com//templates/cityboard/assets/css/all.min.css	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/assets/css/all.min.css	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:15	80888/80888	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Apr%202024%2008:32:48%20GMT	https://itindeedtheme.com//templates/cityboard/assets/css/fontawesome.min.css	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/assets/css/fontawesome.min.css	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:16	2653/2653	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20May%202024%2000:46:44%20GMT	https://itindeedtheme.com//templates/cityboard/assets/fonts/iconly.css	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/assets/fonts/iconly.css	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:16	3383/3383	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20May%202024%2004:57:52%20GMT	https://itindeedtheme.com//templates/cityboard/assets/css/lity.min.css	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/assets/css/lity.min.css	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:16	18436/18436	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20May%202024%2004:57:54%20GMT	https://itindeedtheme.com//templates/cityboard/assets/css/swiper-bundle.min.css	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/assets/css/swiper-bundle.min.css	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:16	3563/3563	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20May%202024%2004:57:52%20GMT	https://itindeedtheme.com//templates/cityboard/assets/css/odometer-theme-default.css	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/assets/css/odometer-theme-default.css	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:17	56800/56800	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Jun%202024%2002:45:32%20GMT	https://itindeedtheme.com//templates/cityboard/assets/css/style.css	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/assets/css/style.css	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:17	16963/16963	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Jun%202024%2002:45:24%20GMT	https://itindeedtheme.com//templates/cityboard/assets/css/responsive.css	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/assets/css/responsive.css	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:17	26053/26053	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Apr%202025%2022:59:50%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	D:/html%20and%20css%20,%20bootstrap/cityboard/unpkg.com/aos@2.3.1/dist/aos.css	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Apr%202025%2010:12:17%20GMT	https://itindeedtheme.com//templates/cityboard/index.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/index.html	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:18	3901/3901	---M--	200	added ('OK')	image/png	date:Fri,%2017%20May%202024%2004:57:58%20GMT	https://itindeedtheme.com//templates/cityboard/assets/images/logo.png	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/assets/images/logo.png	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:19	924576/924576	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jun%202024%2002:42:40%20GMT	https://itindeedtheme.com//templates/cityboard/homepage2.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/homepage2.html	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:19	479121/479121	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jun%202024%2002:42:40%20GMT	https://itindeedtheme.com//templates/cityboard/homepage3.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/homepage3.html	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:20	459260/459260	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jun%202024%2002:39:04%20GMT	https://itindeedtheme.com//templates/cityboard/project.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/project.html	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:20	460423/460423	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jun%202024%2002:42:40%20GMT	https://itindeedtheme.com//templates/cityboard/project-details.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/project-details.html	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:20	462622/462622	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jun%202024%2003:20:00%20GMT	https://itindeedtheme.com//templates/cityboard/service.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/service.html	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:21	462481/462481	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jun%202024%2002:42:40%20GMT	https://itindeedtheme.com//templates/cityboard/service-details.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/service-details.html	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:21	459693/459693	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jun%202024%2002:42:40%20GMT	https://itindeedtheme.com//templates/cityboard/contact.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/contact.html	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:21	904416/904416	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jun%202024%2002:42:18%20GMT	https://itindeedtheme.com//templates/cityboard/about_us.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/about_us.html	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:21	465987/465987	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jun%202024%2002:42:40%20GMT	https://itindeedtheme.com//templates/cityboard/blog.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/blog.html	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Apr%202025%2010:12:22%20GMT	https://itindeedtheme.com//templates/cityboard/blog-details.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/blog-details.html	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
15:42:22	461903/461903	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jun%202024%2002:42:40%20GMT	https://itindeedtheme.com//templates/cityboard/pricing.html	D:/html%20and%20css%20,%20bootstrap/cityboard/itindeedtheme.com/templates/cityboard/pricing.html	(from https://itindeedtheme.com//templates/cityboard/homepage1.html)
